Category,Message
ham,Let's catch up over lunch
spam,Get your FREE trial today
spam,Win a FREE prize now!
spam,"Exclusive deal, click the link now!"
ham,Bring your notes for the tutorial
spam,"Limited offer just for you, claim now!"
ham,The assignment is due by midnight
spam,"Limited offer just for you, claim now!"
ham,Let's catch up over lunch
spam,"Exclusive deal, click the link now!"
ham,Bring your notes for the tutorial
ham,Final project presentation is tomorrow
spam,Claim your voucher now before it expires
spam,Claim your voucher now before it expires
spam,Win a FREE prize now!
ham,Don't forget the meeting at 2
ham,Final project presentation is tomorrow
ham,Meeting at 3pm today in room 204
ham,The assignment is due by midnight
spam,"Limited offer just for you, claim now!"
ham,Meeting at 3pm today in room 204
spam,Win a FREE prize now!
ham,Are you coming to the event tomorrow?
spam,Free entry in a lucky draw!
spam,Congratulations! You have won a lottery!
spam,Get your FREE trial today
ham,Meeting at 3pm today in room 204
ham,Are you coming to the event tomorrow?
ham,Let's catch up over lunch
ham,Final project presentation is tomorrow
spam,Free entry in a lucky draw!
spam,Buy 1 get 1 FREE! Hurry up!
spam,Congratulations! You have won a lottery!
ham,Are you coming to the event tomorrow?
spam,Win a FREE prize now!
ham,Are you coming to the event tomorrow?
ham,Are you coming to the event tomorrow?
ham,Are you coming to the event tomorrow?
spam,Win a FREE prize now!
spam,You have been selected for a cash reward
ham,Can we reschedule our discussion?
spam,Congratulations! You have won a lottery!
ham,Are you coming to the event tomorrow?
spam,You have been selected for a cash reward
ham,Can we reschedule our discussion?
ham,Bring your notes for the tutorial
ham,The assignment is due by midnight
spam,"Exclusive deal, click the link now!"
ham,See you in class at 10
spam,Get your FREE trial today
ham,Meeting at 3pm today in room 204
spam,You have been selected for a cash reward
spam,Get your FREE trial today
spam,"Limited offer just for you, claim now!"
spam,Free entry in a lucky draw!
ham,Bring your notes for the tutorial
ham,Final project presentation is tomorrow
spam,Free entry in a lucky draw!
ham,Bring your notes for the tutorial
spam,Get your FREE trial today
spam,"Limited offer just for you, claim now!"
spam,Win a FREE prize now!
spam,Congratulations! You have won a lottery!
ham,Are you coming to the event tomorrow?
spam,Claim your voucher now before it expires
spam,Get your FREE trial today
ham,The assignment is due by midnight
ham,Can we reschedule our discussion?
spam,Congratulations! You have won a lottery!
spam,"Limited offer just for you, claim now!"
ham,The assignment is due by midnight
ham,Don't forget the meeting at 2
spam,Win a FREE prize now!
spam,Claim your voucher now before it expires
spam,"Exclusive deal, click the link now!"
ham,The assignment is due by midnight
spam,Get your FREE trial today
spam,You have been selected for a cash reward
spam,Free entry in a lucky draw!
ham,See you in class at 10
spam,Congratulations! You have won a lottery!
ham,The assignment is due by midnight
ham,Can we reschedule our discussion?
spam,"Exclusive deal, click the link now!"
ham,Can we reschedule our discussion?
ham,Final project presentation is tomorrow
spam,You have been selected for a cash reward
ham,Can we reschedule our discussion?
ham,Don't forget the meeting at 2
ham,Can we reschedule our discussion?
ham,Are you coming to the event tomorrow?
ham,Final project presentation is tomorrow
ham,Don't forget the meeting at 2
ham,Meeting at 3pm today in room 204
spam,"Exclusive deal, click the link now!"
ham,Let's catch up over lunch
spam,Win a FREE prize now!
spam,Buy 1 get 1 FREE! Hurry up!
spam,Get your FREE trial today
spam,Buy 1 get 1 FREE! Hurry up!
spam,"Limited offer just for you, claim now!"
spam,Congratulations! You have won a lottery!
ham,The assignment is due by midnight
spam,Claim your voucher now before it expires
ham,Let's catch up over lunch
ham,Are you coming to the event tomorrow?
ham,Final project presentation is tomorrow
ham,Don't forget the meeting at 2
ham,Are you coming to the event tomorrow?
ham,The assignment is due by midnight
ham,Are you coming to the event tomorrow?
ham,Are you coming to the event tomorrow?
spam,Congratulations! You have won a lottery!
spam,Claim your voucher now before it expires
spam,Win a FREE prize now!
ham,Don't forget the meeting at 2
ham,Let's catch up over lunch
spam,Claim your voucher now before it expires
spam,"Limited offer just for you, claim now!"
spam,"Limited offer just for you, claim now!"
ham,Final project presentation is tomorrow
ham,Can we reschedule our discussion?
ham,Meeting at 3pm today in room 204
ham,Can we reschedule our discussion?
spam,Buy 1 get 1 FREE! Hurry up!
spam,Free entry in a lucky draw!
spam,Buy 1 get 1 FREE! Hurry up!
spam,Free entry in a lucky draw!
spam,Get your FREE trial today
spam,Buy 1 get 1 FREE! Hurry up!
ham,Final project presentation is tomorrow
ham,Don't forget the meeting at 2
ham,The assignment is due by midnight
ham,Final project presentation is tomorrow
ham,Bring your notes for the tutorial
spam,Buy 1 get 1 FREE! Hurry up!
spam,Free entry in a lucky draw!
ham,Let's catch up over lunch
spam,Win a FREE prize now!
spam,"Exclusive deal, click the link now!"
ham,The assignment is due by midnight
spam,"Limited offer just for you, claim now!"
ham,Don't forget the meeting at 2
ham,Bring your notes for the tutorial
spam,"Limited offer just for you, claim now!"
ham,Can we reschedule our discussion?
spam,Congratulations! You have won a lottery!
ham,Meeting at 3pm today in room 204
spam,Congratulations! You have won a lottery!
ham,Bring your notes for the tutorial
spam,Get your FREE trial today
ham,Meeting at 3pm today in room 204
ham,Are you coming to the event tomorrow?
ham,Don't forget the meeting at 2
ham,Are you coming to the event tomorrow?
spam,Buy 1 get 1 FREE! Hurry up!
spam,Claim your voucher now before it expires
spam,Claim your voucher now before it expires
spam,"Limited offer just for you, claim now!"
ham,Final project presentation is tomorrow
ham,Are you coming to the event tomorrow?
ham,Don't forget the meeting at 2
ham,Bring your notes for the tutorial
spam,Free entry in a lucky draw!
ham,Bring your notes for the tutorial
ham,Meeting at 3pm today in room 204
spam,Win a FREE prize now!
ham,Can we reschedule our discussion?
spam,Get your FREE trial today
spam,Get your FREE trial today
ham,Don't forget the meeting at 2
ham,Can we reschedule our discussion?
spam,Claim your voucher now before it expires
ham,Are you coming to the event tomorrow?
spam,Congratulations! You have won a lottery!
spam,Get your FREE trial today
spam,"Exclusive deal, click the link now!"
spam,Buy 1 get 1 FREE! Hurry up!
ham,Meeting at 3pm today in room 204
ham,Let's catch up over lunch
spam,Get your FREE trial today
